Identificador,Alinhamento,Autorizações,Comercialização,Depósito,Derivados,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Original (primeira aparição),Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
oleo_figado_bacalhau,"Centralizado, Justificado esquerda",Ausente,Vende-se em todas as pharmacias e drogarias do Imperio,-,,Detalhado,Ausente,1 coluna,"Qualidade da produçao, Qualidade dos ingredientes",Tisica (Tysica),,Clichê,Nenhum,"Corpo do texto, Subtítulo, Título principal",1,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1yXSL_5Y3-GxVRI2pl4H1s5SaWxeLt6FN/view?usp=drive_link,"Bancos da terra nova, NY",,Indefinido,,"Comunica cores saudáveis, Efeitos admiráveis, Faz engordar, Fortalece",Puro,-,Produto,Oleo puro de figado de bacalhao,-,"Crianças (creanças), Geral",5,Lanman & Kemp,Ausente,Finalizado,"Iodo, Oleo de figado de bacalhau","Animal, Peixe",Oleo,"Caixa alta, Regular",Serifa
tonico_oriental_cabello,"Centralizado, Justificado esquerda",Ausente,Vende-se em todas as pharmacias e drogarias do Imperio,-,,Detalhado,Ausente,1 coluna,Ausente,"Caspa, Cãs, Moléstias da cabeça, Tinha",,Clichê,Nenhum,"Corpo do texto, Título principal",2,Comercialização,https://drive.google.com/file/d/1-CLIUlJO9hLxXH1R009AYfqjx9nGZCio/view?usp=drive_link,Nenhum,,Indefinido,,"Conservar [desejável], Evitar [moléstia], Extirpar [moléstia]","Agradável, Fragrante",-,Produto,O tonico oriental para o cabello,-,Ausente,4,Ausente,Ausente,Finalizado,Ausente,Figura Humana,Tonico,"Bold, Caixa alta, Regular",Serifa
pilulas_vegeates_assucaradas_bristol,"Centralizado, Justificado esquerda",Ausente,Vende-se em todas as farmácias e drogarias do Imperio,-,,Mencionado,Ausente,1 coluna,Qualidade dos ingredientes,"Affecção do figado estômago e rins, Cardialgia, Congestão do figado, Constipação do ventre, Dispepsia (dyspepsias), Dor nas costas, Enxaqueca, Gastritis [gastrites], Indigestão, Tossas [tosse] [tosses]",,Clichê,Nenhum,"Corpo do texto, Título principal",3,Comercialização,https://drive.google.com/file/d/1MwIhZSCNDpoA_Ft0JQUwPj8eeQs_X7i0/view?usp=drive_link,Nenhum,,Indefinido,,Contra [a moléstia as moléstias],"Eficaz (efficacissimo), Poderoso(a)",-,Produto,Pilulas vegetaes assucaradas de bristol,-,Ausente,4,Ausente,Ausente,Finalizado,"Leptandrina, Popophilina","Representação do produto, Vidraria",Pilula,"Bold, Regular",Serifa
og_novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,"Alinhado direita, Centralizado, Justificado esquerda",Ausente,-,"DEPOSITO:—Pharmacia de Vicente Antonio da Silva
Rua Direita nº 84 - Campos","novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema (https://www.notion.so/novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema-263d075ca71280bdb2ecddd94d3d435a?pvs=21), extracto_fluido_salsaparrilha_caroba_iodurado_joaquim (https://www.notion.so/extracto_fluido_salsaparrilha_caroba_iodurado_joaquim-263d075ca712804da7d5f926079517d0?pvs=21)",Detalhado,Ausente,1 coluna,"Apelo ao ""natural"", Qualidade dos ingredientes","Blenorrhagias, Darthros, Pannos, Rheumatismo, Sangue viciado por [moléstia], Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas], Ulceras syphiliticas",,Clichê,Sugestão de uso coadjuvante com outro medicamento,"Nota de rodapé, Subtítulo, Título principal, Título secundário",4,"Depósito, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1JgPY9ZdwwdEypRemyhnSPiDoNhgdBnbP/view?usp=drive_link,"Campos, Rio de Janeiro","N. B. — Todos os rotulos e prospectos levaráão a assignatura do autor
—
Ênfase nos benefícios e efeitos com bastante força nas afirmações de ser o melhor medicamento para essas doenças, de curar.
",Indefinido,,"Combater [moléstia], Curar [moléstia] (cura [moléstia]  cura-se [moléstia])","Depurativo (ação depurativa), Depurativo do sangue, Diversas plantas, Eficaz (efficacissimo), Inumeros resultados, Poderoso(a), Precioso(a), dos melhores medicamentos até hoje conhecidos para combater taes efermidades","Preço de um vidro 2$500
Preço de uma duzia de vidros 24$009",Novo depurativo,Novo depurativo extracto fluido de salsaparrilha e caroba iodurado ou elexir depurativo do sangue,-,Portadores/acometidos,7,Joaquim Manoel Venancio da Silva (pharmaceutico chimico pela Faculdadde de Medicina do Rio de Janeiro),Ausente,Finalizado,"Batata purgativa, Caroba iodurado, Salsaparrilha","Espada, Lâmpada Mágica, Planta, Serpente","Elexir/elixir, Extrato","Bold, Caixa alta, Itálico, Regular",Serifa
salsaparrilha_bristol,"Centralizado, Justificado esquerda",Ausente,Vende-se em todas as pharmacias e drogarias do Imperio,-,,Mencionado,Ausente,1 coluna,Ausente,"Chagas perniciosas e inveteradas, Debilisdade geral do systema, Erupções cutaneas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Rheumatismo, Siphilis [Siphylis] [enfermidades syphiliticas], Tumores",,Clichê,,"Corpo do texto, Título principal",5,Comercialização,https://drive.google.com/file/d/1ThQ5PbshaDztgX9WG-uPOWC8daPM78B9/view?usp=drive_link,Bristol,,Indefinido,,Contra [a moléstia as moléstias],"Grande, Infalivel (infallivel), Purificador do sangue",-,Produto,Salsaparrilha de bristol,-,,2,Ausente,Ausente,Finalizado,Salsaparrilha,"Ave, Chamas",Indefinido,"Caixa alta, Regular",Serifa
peitoral_anacahuita,Justificado esquerda,Ausente,Vendom-se em todas as pharmacias e drogarias do Imperio,-,,Mencionado,Ausente,1 coluna,"Importado, Recomendado/attestado por especialistas","Bronchites (bronchitas), Constipações, Inflamação dos pulmões, Molestias da garganta, Molestias peito, Molestias pulmões, Tisica (Tysica), Tossas [tosse] [tosses]",,Clichê,,"Corpo do texto, Subtítulo, Título principal",6,Comercialização,https://drive.google.com/file/d/10Jx918TSRegTj-60_T_A8SZtSX9cao9I/view?usp=drive_link,"Berlim, México","Recommendado pelo Proto Medicato Imperial de Berlim
—
Menciona constipações, parece se refereir a congestão nasal e não constipação intestinal ","Estrangeiro, Inferido",,"Cura radical, Curativo [moléstia]","Alta excellencia (excellente), Chimicamente analizado, Eficaz (efficacissimo), Grande",-,[Moléstia],Peitoral de anacahuita,-,Portadores/acometidos,3,Ausente,Ausente,Finalizado,Ausente,"Planta, Árvore",Indefinido,"Bold, Regular",Serifa
agua_alcalina_vidago,"Centralizado, Justificado esquerda",Ausente,"Rua da Quitanda n. 56, canto da do Concelho",-,,Detalhado,Ausente,1 coluna,Vantagem sobre outros,"Calculos urinarios, Obstrucções do figado, Pedra",,Ausente,Fala com a comunidade médica,"Corpo do texto, Subtítulo, Título principal, Título secundário",7,Comercialização,https://drive.google.com/file/d/13GMWsZ658IFgmSpQgelOcH9qbv5phuuW/view?usp=drive_link,Europa,Faz um pedido aos membros da illustrada classe medica desta cidade se dignem a tomar em consideração as preciosidades destas aguas empregando-as em suas clinicas,"Estrangeiro, Inferido",,"Abre apetite, Apagão os azedumes, Dão força ao estomago, Empregadas nos [moléstias], Satura os ácidos, Tornam facil a digestão","Preciozissima, Preservativo",-,Nome do produto,Agua alcalina-gazoza de Vidalgo e das pedras salgadas,-,Médicos,4,Ausente,Ausente,Finalizado,Carbonato de ferro,Ausente,Agua,"Bold, Regular",Serifa
laranginha_campista,"Centralizado, Justificado esquerda",Ausente,casa de Gustavo Alves & C. Rua da Quitanda n. 5,-,,Ausente,Ausente,1 coluna,Ausente,Ausente,,Ausente,,"Corpo do texto, Subtítulo, Título principal",8,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1s5rN87ld94YulALkkhiO4Q6NG-X8LnE8/view?usp=drive_link,Campos,,"Inferido, Nacional",,Ausente,Ausente,-,Nome do produto,Laranginha Campista,-,Ausente,3,Carlos Franco,Ausente,Finalizado,Ausente,Ausente,Elexir/elixir,"Bold, Caixa alta, Regular",Serifa
agua_florida_murray,"Centralizado, Justificado esquerda",Ausente,Vende-se em todos os armarinhos de imperio.,-,,Detalhado,Ausente,1 coluna,Universalmente,"Esvaecimentos, Etc., Excitação nervosa, Fadiga, Vertigens, etc",,Clichê,,"Corpo do texto, Título principal",9,"Comercialização, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1v0rGSFEvXQGRZUmfLLaLg3jKQRnqbMb7/view?usp=drive_link,Nenhum,,Indefinido,,"Perfuma, Purifica o ar","Eficaz (efficacissimo), Universalmente usada, dos melhores medicamentos até hoje conhecidos para combater taes efermidades",-,Nome do produto,Agua Florida de Murray e Lanman,-,"Mulheres (senhoras), Portadores/acometidos",6,Murray & Lanman,Ausente,Finalizado,Ausente,Chafariz,Agua,"Condensado, Regular",Serifa
cognac_champagne,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Mencionado,1 coluna,Ausente,Asthma [asma],,Ausente,,"Corpo do texto, Título principal",10,Indefinido,https://drive.google.com/file/d/14p1Cu4t4-Wu0jFpgXTM8qfA3BzD5s-KD/view?usp=drive_link,Nenhum,Tomando-se tambem com leite,Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),Ausente,-,Nome do produto,Cognac Champagne,-,Ausente,4,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Itálico, Regular",Serifa
