Anúncio,Ano,Edição,Página,Coluna(s) ocupadas,Número de Colunas,Orientação,Orientação (Original),# Linhas,Tamanho,Observação
tonico_oriental_cabello,1880,2,4,1,1,↥,↥,,,
pilulas_vegeates_assucaradas_bristol,1880,6,4,5,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,6,3,"4,5",2,↥,↥,,,
oleo_figado_bacalhau,1880,8,4,5,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,8,4,"3,4",2,↥,↥,,,
agua_florida_murray,1880,10,4,2,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,12,4,"1,2",2,↥,↥,,,
pilulas_vegeates_assucaradas_bristol,1880,12,4,2,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,14,4,"1,2",2,↥,↥,,,
oleo_figado_bacalhau,1880,14,4,2,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,18,4,"2,3",2,↥,↥,,,
salsaparrilha_bristol,1880,18,4,2,1,↥,↥,,,
agua_alcalina_vidago,1880,20,3,3,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,20,4,"2,3",2,↥,↥,,,
peitoral_anacahuita,1880,20,4,2,1,↥,↥,,,
pilulas_vegeates_assucaradas_bristol,1880,20,4,2,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,22,4,"1,2",2,↥,↥,,,
tonico_oriental_cabello,1880,22,4,3,1,↥,↥,,,
agua_alcalina_vidago,1880,24,4,3,1,↥,↥,,,
salsaparrilha_bristol,1880,24,4,3,1,↥,↥,,,
agua_alcalina_vidago,1880,26,4,1,1,↥,↥,,,
peitoral_anacahuita,1880,26,4,1,1,↥,↥,,,
agua_alcalina_vidago,1880,28,3,4,1,↥,↥,,,
tonico_oriental_cabello,1880,28,4,4,1,↥,↥,,,
salsaparrilha_bristol,1880,30,4,3,1,↥,↥,,,
peitoral_anacahuita,1880,32,4,1,1,↥,↥,,,
agua_alcalina_vidago,1880,32,4,5,1,↥,↥,,,
tonico_oriental_cabello,1880,34,4,1,1,↥,↥,,,
salsaparrilha_bristol,1880,36,4,2,1,↥,↥,,,
peitoral_anacahuita,1880,38,4,1,1,↥,↥,,,
tonico_oriental_cabello,1880,40,4,4,1,↥,↥,,,
salsaparrilha_bristol,1880,42,4,5,1,↥,↥,,,
peitoral_anacahuita,1880,44,4,1,1,↥,↥,,,
salsaparrilha_carroba_maranhao,1880,46,3,3,1,↥,↥,,,
tonico_oriental_cabello,1880,46,4,2,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,48,3,"4,5",2,↥,↥,,,
salsaparrilha_bristol,1880,48,4,1,1,↥,↥,,,
agua_alcalina_vidago,1880,48,4,5,1,↥,↥,,,
salsaparrilha_carroba_maranhao,1880,48,4,2,1,↥,↥,,,
salsaparrilha_carroba_maranhao,1880,50,3,3,1,↥,↥,,,
agua_alcalina_vidago,1880,50,3,4,1,↥,↥,,,
peitoral_anacahuita,1880,50,4,4,1,↥,↥,,,
salsaparrilha_bristol,1880,54,4,2,1,↥,↥,,,
agua_alcalina_vidago,1880,54,4,2,1,↥,↥,,,
licor_centaurea,1880,54,4,"3,4",2,↥,↥,,,
pomada_antidartrosa_delgado,1880,56,3,"2,3",2,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_comemblema,1880,56,3,"2,3",2,↥,↥,,,
peitoral_anacahuita,1880,56,3,4,1,↥,↥,,,
salsaparrilha_caroba,1880,56,4,1,1,↥,↥,,,
tonico_oriental_cabello,1880,58,4,2,1,↥,↥,,,
xarope_pao_pereira_delgado,1880,60,3,"4,5",2,↥,↥,,,
salsaparrilha_bristol,1880,60,4,1,1,↥,↥,,,
pharmacia_mendes_costa_formulas_especiaes,1880,60,4,1,1,↥,↥,,,
peitoral_anacahuita,1880,62,4,1,1,↥,↥,,,
agua_alcalina_vidago,1880,62,4,5,1,↥,↥,,,
tonico_oriental_cabello,1880,64,4,1,1,↥,↥,,,
salsaparrilha_bristol,1880,66,4,1,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema,1880,66,4,"2,3",2,↥,↥,,,
pomada_antidartrosa_delgado,1880,66,4,"2,3",2,↥,↥,,,
tonico_oriental_cabello,1880,68,4,1,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema,1880,68,4,"2,3",2,↥,↥,,,
pharmacia_mendes_costa_formulas_especiaes,1880,70,5,3,1,↥,↥,,,
agua_alcalina_vidago,1880,70,5,3,1,↥,↥,,,
dores_dentes_odontalgico_brazileiro,1880,70,5,5,1,↥,↥,,,
licor_centaurea,1880,70,6,1,1,↥,↥,,,
novo_depurativo_extracto_salsaparrilha_caroba_2colunas_sememblema,1880,70,6,"3,4",2,↥,↥,,,
salsaparrilha_bristol,1880,70,6,6,1,↥,↥,,,
peitoral_anacahuita,1880,72,4,2,1,↥,↥,,,
dores_dentes_odontalgico_brazileiro,1880,74,4,3,1,↥,↥,,,
tonico_oriental_cabello,1880,74,4,4,1,↥,↥,,,
salsaparrilha_bristol,1880,76,4,3,1,↥,↥,,,
xarope_pao_pereira_delgado,1880,76,4,"4,5",2,↥,↥,,,
peitoral_anacahuita,1880,78,4,3,1,↥,↥,,,
tonico_oriental_cabello,1880,80,4,3,1,↥,↥,,,
dores_dentes_odontalgico_brazileiro,1880,82,5,5,1,↥,↥,,,
pomada_antidartrosa_delgado,1880,82,6,"1,2",2,↥,↥,,,
febres_intermitentes_sezoes,1880,82,6,3,1,↥,↥,,,
